title,source,category,published_at,vader_compound,vader_label,tb_polarity,tb_subjectivity,tb_label,consensus_label,token_count,url
"Mario Kart World 1.6.1 update out now, patch notes - Nintendo Everything",Nintendoeverything.com,technology,2026-04-10T01:06:45Z,0.0,Neutral,-0.03181818181818183,0.32727272727272727,Neutral,Neutral,34,https://nintendoeverything.com/mario-kart-world-1-6-1-update-out-now-patch-notes/
"USPS to suspend pension contributions, seeks 4-cent stamp price hike - Politico",Politico,business,2026-04-10T01:00:00Z,0.3612,Positive,0.16999999999999998,0.33166666666666667,Positive,Positive,37,https://www.politico.com/news/2026/04/09/usps-to-suspend-pension-contributions-seeks-4-cent-stamp-price-hike-00866388
Xi’s $270 Billion Middle East Bet Limits China Support for Iran,Financial Post,kw:economy,2026-04-10T04:58:55Z,-0.5106,Negative,0.0,0.15,Neutral,Negative,51,https://financialpost.com/pmn/business-pmn/xis-270-billion-middle-east-bet-limits-china-support-for-iran
Chinese startup ShengShu raises $293 million to advance artificial general intelligence,The Times of India,kw:artificial intelligence,2026-04-10T04:55:05Z,0.7717,Positive,-0.12999999999999998,0.4133333333333334,Negative,Neutral,53,https://economictimes.indiatimes.com/tech/funding/chinese-startup-shengshu-raises-293-million-to-advance-artificial-general-intelligence/articleshow/130159734.cms
